#alt_asm_name	prim_asm_name	alt_scaf_name	parent_type	parent_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
haplotigs	Primary Assembly	000000F_044	SCAFFOLD	000000F	+	1	23280	12423860	12448493	0	0
haplotigs	Primary Assembly	000000F_047	SCAFFOLD	000000F	+	1	11382	6982529	6993759	0	3347
haplotigs	Primary Assembly	000000F_048	SCAFFOLD	000000F	+	38869	791490	7330972	8103887	38868	35
haplotigs	Primary Assembly	000000F_053	SCAFFOLD	000000F	+	99	55481	12958075	13014415	98	0
haplotigs	Primary Assembly	000000F_062	SCAFFOLD	000000F	+	1	4376	5051349	5056968	0	1727
haplotigs	Primary Assembly	000000F_063	SCAFFOLD	000000F	+	1	34837	373262	408180	0	0
haplotigs	Primary Assembly	000000F_064	SCAFFOLD	000000F	+	1	13048	3361224	3374325	0	0
haplotigs	Primary Assembly	000000F_065	SCAFFOLD	000000F	+	1607	13905	11516563	11528886	1606	0
haplotigs	Primary Assembly	000000F_067	SCAFFOLD	000000F	+	1	4264247	8378021	12582766	0	0
haplotigs	Primary Assembly	000001F_007	SCAFFOLD	000001F	+	1	9322	7722643	7731996	0	0
haplotigs	Primary Assembly	000001F_008	SCAFFOLD	000001F	+	2	24976	140435	165488	1	0
haplotigs	Primary Assembly	000001F_014	SCAFFOLD	000001F	+	1	967088	10877225	11851343	0	0
haplotigs	Primary Assembly	000001F_017	SCAFFOLD	000001F	+	1	23820	6239885	6262744	0	0
haplotigs	Primary Assembly	000001F_018	SCAFFOLD	000001F	+	1	18157	10490507	10508671	0	0
haplotigs	Primary Assembly	000001F_020	SCAFFOLD	000001F	+	1	10223221	3169	10201917	0	0
haplotigs	Primary Assembly	000001F_022	SCAFFOLD	000001F	+	1	8563	11328124	11339127	0	0
haplotigs	Primary Assembly	000001F_023	SCAFFOLD	000001F	+	1	6379	9192169	9198566	0	0
haplotigs	Primary Assembly	000001F_024	SCAFFOLD	000001F	+	1	11978	11370817	11382779	0	0
haplotigs	Primary Assembly	000001F_027	SCAFFOLD	000001F	+	1	13733	5837082	5850972	0	0
haplotigs	Primary Assembly	000001F_028	SCAFFOLD	000001F	+	1	11455	397756	409075	0	0
haplotigs	Primary Assembly	000001F_029	SCAFFOLD	000001F	+	1	9400	9179132	9188607	0	2633
haplotigs	Primary Assembly	000001F_035	SCAFFOLD	000001F	+	1	15696	3882837	3898470	0	0
haplotigs	Primary Assembly	000001F_038	SCAFFOLD	000001F	+	1	13163	9850313	9863371	0	0
haplotigs	Primary Assembly	000001F_047	SCAFFOLD	000001F	+	1	9723	7781902	7792385	0	282
haplotigs	Primary Assembly	000001F_048	SCAFFOLD	000001F	+	1	21860	4354444	4376317	0	0
haplotigs	Primary Assembly	000001F_052	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000001F_054	SCAFFOLD	000001F	+	1	8251	7033047	7041285	0	0
haplotigs	Primary Assembly	000001F_056	SCAFFOLD	000001F	+	1	18997	11403570	11426472	0	0
haplotigs	Primary Assembly	000001F_058	SCAFFOLD	000001F	+	1	12948	3279112	3292012	0	0
haplotigs	Primary Assembly	000001F_060	SCAFFOLD	000001F	+	1	18712	11569614	11588344	0	0
haplotigs	Primary Assembly	000001F_062	SCAFFOLD	000001F	+	1	17240	2984207	3001476	0	0
haplotigs	Primary Assembly	000001F_063	SCAFFOLD	000001F	+	1	18300	1981487	1998908	0	1
haplotigs	Primary Assembly	000002F_001	SCAFFOLD	000002F	+	1	18865	4537977	4554463	0	0
haplotigs	Primary Assembly	000002F_008	SCAFFOLD	000002F	+	1	19918	7161005	7180831	0	0
haplotigs	Primary Assembly	000002F_011	SCAFFOLD	000002F	+	1	29720	2180578	2210308	0	1
haplotigs	Primary Assembly	000002F_013	SCAFFOLD	000002F	+	625	19224	2539284	2557958	624	0
haplotigs	Primary Assembly	000002F_015	SCAFFOLD	000002F	+	1	28220	1273245	1301651	0	0
haplotigs	Primary Assembly	000002F_018	SCAFFOLD	000002F	+	1	25143	10821695	10848093	0	0
haplotigs	Primary Assembly	000002F_020	SCAFFOLD	000002F	+	1	23359	4267740	4291389	0	0
haplotigs	Primary Assembly	000002F_030	SCAFFOLD	000002F	+	1	22178	4305249	4327442	0	0
haplotigs	Primary Assembly	000002F_031	SCAFFOLD	000002F	+	1	14542	7858957	7876360	0	0
haplotigs	Primary Assembly	000002F_039	SCAFFOLD	000002F	+	1	786	11725860	11726638	0	17611
haplotigs	Primary Assembly	000002F_045	SCAFFOLD	000002F	+	2	14026	11608895	11622930	1	0
haplotigs	Primary Assembly	000002F_046	SCAFFOLD	000002F	+	1	9838	5003902	5013737	0	0
haplotigs	Primary Assembly	000002F_048	SCAFFOLD	000002F	+	1	11630357	8066	11726638	0	17777
haplotigs	Primary Assembly	000002F_049	SCAFFOLD	000002F	+	531	14892	7321393	7335405	530	0
haplotigs	Primary Assembly	000002F_050	SCAFFOLD	000002F	+	1	16364	4153297	4169624	0	0
haplotigs	Primary Assembly	000002F_052	SCAFFOLD	000002F	+	1	2875	1236586	1239502	0	0
haplotigs	Primary Assembly	000002F_053	SCAFFOLD	000002F	+	20640	81554	2473729	2507382	20639	0
haplotigs	Primary Assembly	000002F_054	SCAFFOLD	000002F	+	1	15682	3941347	3957018	0	0
haplotigs	Primary Assembly	000002F_055	SCAFFOLD	000002F	+	1	21400	458270	479648	0	0
haplotigs	Primary Assembly	000002F_059	SCAFFOLD	000002F	+	1	15646	5266875	5282045	0	526
haplotigs	Primary Assembly	000003F_003	SCAFFOLD	000003F	+	1	2951262	43121	3006076	0	0
haplotigs	Primary Assembly	000003F_004	SCAFFOLD	000003F	+	1	5401	7467359	7472287	0	0
haplotigs	Primary Assembly	000003F_006	SCAFFOLD	000003F	+	1	23258	6806902	6830268	0	0
haplotigs	Primary Assembly	000003F_011	SCAFFOLD	000003F	+	2	31760	10930132	10961935	1	0
haplotigs	Primary Assembly	000003F_014	SCAFFOLD	000003F	+	1	2405	8888034	8890433	0	3
haplotigs	Primary Assembly	000003F_020	SCAFFOLD	000003F	+	1	10537	4463413	4472643	0	0
haplotigs	Primary Assembly	000003F_022	SCAFFOLD	000003F	+	4177	5887	5909753	5911462	4176	940
haplotigs	Primary Assembly	000003F_024	SCAFFOLD	000003F	+	1	18969	8832265	8851509	0	0
haplotigs	Primary Assembly	000003F_025	SCAFFOLD	000003F	+	1	10886	8403185	8414178	0	0
haplotigs	Primary Assembly	000003F_029	SCAFFOLD	000003F	+	1	2264	7069156	7071430	0	80
haplotigs	Primary Assembly	000003F_030	SCAFFOLD	000003F	+	1	8453	5128715	5134693	0	1
haplotigs	Primary Assembly	000003F_038	SCAFFOLD	000003F	+	1	20710	11510982	11530406	0	811
haplotigs	Primary Assembly	000003F_043	SCAFFOLD	000003F	+	1	8549752	2982548	11530396	0	0
haplotigs	Primary Assembly	000003F_047	SCAFFOLD	000003F	+	1426	14238	3297450	6077426	1425	991
haplotigs	Primary Assembly	000003F_048	SCAFFOLD	000003F	+	1	12228	4525629	4541244	0	0
haplotigs	Primary Assembly	000003F_050	SCAFFOLD	000003F	+	1	18654	9777371	9796036	0	0
haplotigs	Primary Assembly	000003F_051	SCAFFOLD	000003F	+	1	31327	3580817	3622815	0	90
haplotigs	Primary Assembly	000003F_053	SCAFFOLD	000003F	+	28431	69874	237607	279041	28430	0
haplotigs	Primary Assembly	000003F_054	SCAFFOLD	000003F	+	1	8869	1962219	1971050	0	0
haplotigs	Primary Assembly	000004F_003	SCAFFOLD	000004F	+	7	12875	5057717	5070629	6	0
haplotigs	Primary Assembly	000004F_004	SCAFFOLD	000004F	+	1	17427	1490478	1500831	0	0
haplotigs	Primary Assembly	000004F_008	SCAFFOLD	000004F	+	1	3471	6209330	6212777	0	0
haplotigs	Primary Assembly	000004F_009	SCAFFOLD	000004F	+	6792	19093	3239052	3251364	6791	0
haplotigs	Primary Assembly	000004F_013	SCAFFOLD	000004F	+	1	424432	8161621	8559335	0	0
haplotigs	Primary Assembly	000004F_017	SCAFFOLD	000004F	+	1	8151246	18203	8206503	0	5
haplotigs	Primary Assembly	000004F_018	SCAFFOLD	000004F	+	1	4843	4102729	4107629	0	0
haplotigs	Primary Assembly	000004F_026	SCAFFOLD	000004F	+	1	9088	6438348	6447278	0	0
haplotigs	Primary Assembly	000004F_027	SCAFFOLD	000004F	+	1	20115	272921	297493	0	0
haplotigs	Primary Assembly	000005F_001	SCAFFOLD	000005F	+	1	5819	2193820	2200130	0	0
haplotigs	Primary Assembly	000005F_002	SCAFFOLD	000005F	+	1	4634947	1551894	6174856	0	0
haplotigs	Primary Assembly	000005F_003	SCAFFOLD	000005F	+	1	21999	3724266	3746268	0	0
haplotigs	Primary Assembly	000005F_007	SCAFFOLD	000005F	+	1	17540	3374539	3392111	0	0
haplotigs	Primary Assembly	000005F_008	SCAFFOLD	000005F	+	1	3187	3469132	3472337	0	0
haplotigs	Primary Assembly	000005F_012	SCAFFOLD	000005F	+	1	17280	4477824	4500179	0	0
haplotigs	Primary Assembly	000005F_013	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000005F_014	SCAFFOLD	000005F	+	1	1549736	2219	1563353	0	0
haplotigs	Primary Assembly	000005F_021	SCAFFOLD	000005F	+	1	317751	6688817	7011131	0	0
haplotigs	Primary Assembly	000005F_026	SCAFFOLD	000005F	+	1	19152	6102691	6119749	0	0
haplotigs	Primary Assembly	000005F_029	SCAFFOLD	000005F	+	1	4935	2458518	2463469	0	72
haplotigs	Primary Assembly	000006F_002	SCAFFOLD	000006F	+	1	6920133	25107	6958499	0	0
haplotigs	Primary Assembly	000006F_006	SCAFFOLD	000006F	+	1	8586	5920581	5929214	0	0
haplotigs	Primary Assembly	000006F_008	SCAFFOLD	000006F	+	1	23236	7019815	7043046	0	0
haplotigs	Primary Assembly	000006F_012	SCAFFOLD	000006F	+	1	14007	4064201	4078092	0	1
haplotigs	Primary Assembly	000006F_016	SCAFFOLD	000006F	+	1	20902	2708359	2729310	0	0
haplotigs	Primary Assembly	000006F_017	SCAFFOLD	000006F	+	1	10719	2200120	2210877	0	0
haplotigs	Primary Assembly	000006F_022	SCAFFOLD	000006F	+	1	999019	6950871	7963283	0	2
haplotigs	Primary Assembly	000006F_025	SCAFFOLD	000006F	+	1	14158	65056	77661	0	0
haplotigs	Primary Assembly	000006F_029	SCAFFOLD	000006F	+	6	8333	2063561	2071912	5	0
haplotigs	Primary Assembly	000006F_030	SCAFFOLD	000006F	+	1	37337	3527617	3564959	0	0
haplotigs	Primary Assembly	000007F_004	SCAFFOLD	000007F	+	1	47304	3366854	3414158	0	3
haplotigs	Primary Assembly	000007F_008	SCAFFOLD	000007F	+	1	18511	1110269	1128805	0	0
haplotigs	Primary Assembly	000007F_009	SCAFFOLD	000007F	+	12	7363020	72938	7385701	11	0
haplotigs	Primary Assembly	000007F_010	SCAFFOLD	000007F	+	1	23203	1869531	1892762	0	0
haplotigs	Primary Assembly	000007F_015	SCAFFOLD	000007F	+	165	8880	3839187	3847928	164	0
haplotigs	Primary Assembly	000007F_017	SCAFFOLD	000007F	+	1	20530	3563012	3583605	0	0
haplotigs	Primary Assembly	000007F_019	SCAFFOLD	000007F	+	4	10232	5461654	5473600	3	2
haplotigs	Primary Assembly	000007F_022	SCAFFOLD	000007F	+	1	55612	629516	685215	0	0
haplotigs	Primary Assembly	000007F_029	SCAFFOLD	000007F	+	1	15623	4427683	4443924	0	7
haplotigs	Primary Assembly	000007F_031	SCAFFOLD	000007F	+	1	21101	1088667	1109701	0	0
haplotigs	Primary Assembly	000008F_002	SCAFFOLD	000008F	+	3326	14294	5091199	5101817	3325	0
haplotigs	Primary Assembly	000008F_003	SCAFFOLD	000008F	+	1	5620	2865090	2870730	0	7
haplotigs	Primary Assembly	000008F_010	SCAFFOLD	000008F	+	2	22672	4666487	4689131	1	0
haplotigs	Primary Assembly	000008F_013	SCAFFOLD	000008F	+	1	1023036	4159987	5281230	0	3
haplotigs	Primary Assembly	000008F_017	SCAFFOLD	000008F	+	1	13253	2235565	2253494	0	0
haplotigs	Primary Assembly	000008F_019	SCAFFOLD	000008F	-	449	6876	4795033	5007273	448	2136
haplotigs	Primary Assembly	000008F_022	SCAFFOLD	000008F	+	14761	62414	3532778	3579396	14760	1
haplotigs	Primary Assembly	000008F_023	SCAFFOLD	000008F	+	6744	29888	3390277	3406764	6743	25
haplotigs	Primary Assembly	000008F_024	SCAFFOLD	000008F	+	1	2474970	3643	2455682	0	0
haplotigs	Primary Assembly	000008F_028	SCAFFOLD	000008F	+	1	471244	2836974	3297365	0	0
haplotigs	Primary Assembly	000008F_030	SCAFFOLD	000008F	+	1	597307	3272568	3710929	0	0
haplotigs	Primary Assembly	000008F_031	SCAFFOLD	000008F	+	1	20418	3146693	3168400	0	0
haplotigs	Primary Assembly	000009F_003	SCAFFOLD	000009F	+	1	1756424	34262	1779496	0	0
haplotigs	Primary Assembly	000009F_005	SCAFFOLD	000009F	+	1	350100	4033748	4383294	0	0
haplotigs	Primary Assembly	000009F_009	SCAFFOLD	000009F	+	1	62928	3068124	3132237	0	0
haplotigs	Primary Assembly	000009F_010	SCAFFOLD	000009F	+	1623	857101	1944068	2793676	1622	0
haplotigs	Primary Assembly	000009F_011	SCAFFOLD	000009F	+	1	30266	820974	846598	0	0
haplotigs	Primary Assembly	000009F_017	SCAFFOLD	000009F	+	86	40786	4442668	4483289	85	0
haplotigs	Primary Assembly	000009F_018	SCAFFOLD	000009F	+	1	41320	3218156	3259443	0	0
haplotigs	Primary Assembly	000010F_002	SCAFFOLD	000010F	+	1	142761	823764	943067	0	1
haplotigs	Primary Assembly	000010F_005	SCAFFOLD	000010F	+	1	30402	2387780	2399121	0	0
haplotigs	Primary Assembly	000010F_007	SCAFFOLD	000010F	+	1	33020	1089641	1112296	0	0
haplotigs	Primary Assembly	000010F_009	SCAFFOLD	000010F	+	1	124749	938218	1065663	0	0
haplotigs	Primary Assembly	000010F_010	SCAFFOLD	000010F	+	2528	24202	3484805	3506314	2527	0
haplotigs	Primary Assembly	000010F_012	SCAFFOLD	000010F	+	1	29282	606902	636116	0	0
haplotigs	Primary Assembly	000010F_013	SCAFFOLD	000010F	+	1	267131	1108665	1362012	0	194
haplotigs	Primary Assembly	000010F_015	SCAFFOLD	000010F	+	1	1907498	2207580	4129832	0	0
haplotigs	Primary Assembly	000011F_001	SCAFFOLD	000011F	+	1	1185774	117850	1314379	0	0
haplotigs	Primary Assembly	000011F_002	SCAFFOLD	000011F	+	7722	16865	1679578	1688660	7721	0
haplotigs	Primary Assembly	000011F_004	SCAFFOLD	000011F	+	1	36333	2486088	2527170	0	0
haplotigs	Primary Assembly	000011F_007	SCAFFOLD	000011F	+	1	14072	610158	624739	0	0
haplotigs	Primary Assembly	000011F_008	SCAFFOLD	000011F	+	5490	29254	1561650	1587427	5489	1294
haplotigs	Primary Assembly	000011F_014	SCAFFOLD	000011F	+	1	15738	856376	872943	0	0
haplotigs	Primary Assembly	000011F_016	SCAFFOLD	000011F	+	23	5073	656589	661731	22	0
haplotigs	Primary Assembly	000011F_017	SCAFFOLD	000011F	+	1	15342	1092635	1112460	0	0
haplotigs	Primary Assembly	000011F_018	SCAFFOLD	000011F	+	1	40469	2613082	2663235	0	0
haplotigs	Primary Assembly	000011F_019	SCAFFOLD	000011F	+	1	1195772	1508883	2630065	0	43
haplotigs	Primary Assembly	000012F_001	SCAFFOLD	000012F	+	4179	12910	458057	466781	4178	1164
haplotigs	Primary Assembly	000012F_003	SCAFFOLD	000012F	+	1	9235	2502671	2511933	0	2784
haplotigs	Primary Assembly	000012F_004	SCAFFOLD	000012F	+	240	32961	1199850	1231810	239	0
haplotigs	Primary Assembly	000012F_007	SCAFFOLD	000012F	+	1	27580	1681289	1711624	0	233
haplotigs	Primary Assembly	000012F_008	SCAFFOLD	000012F	+	1	1915216	244980	2158193	0	0
haplotigs	Primary Assembly	000012F_009	SCAFFOLD	000012F	+	1	14478	2084139	2098779	0	0
haplotigs	Primary Assembly	000012F_010	SCAFFOLD	000012F	+	1	2915	1673981	1676885	0	14333
haplotigs	Primary Assembly	000013F_003	SCAFFOLD	000013F	+	1	254323	122414	278604	0	0
haplotigs	Primary Assembly	000013F_004	SCAFFOLD	000013F	+	1	37531	70320	108276	0	0
haplotigs	Primary Assembly	000014F_001	SCAFFOLD	000014F	+	1	1431096	537184	2017707	0	10566
haplotigs	Primary Assembly	000014F_004	SCAFFOLD	000014F	+	1	35424	1426068	1461270	0	0
haplotigs	Primary Assembly	000014F_006	SCAFFOLD	000014F	+	1	41387	1641229	1682710	0	0
haplotigs	Primary Assembly	000014F_008	SCAFFOLD	000014F	+	1	215295	102525	360437	0	0
haplotigs	Primary Assembly	000015F_001	SCAFFOLD	000015F	+	8	32675	702855	735494	7	0
haplotigs	Primary Assembly	000015F_004	SCAFFOLD	000015F	+	1	222960	939401	1226101	0	0
haplotigs	Primary Assembly	000015F_005	SCAFFOLD	000015F	+	1	38585	1425198	1463755	0	0
haplotigs	Primary Assembly	000016F_001	SCAFFOLD	000016F	+	1	815207	389138	1205780	0	0
haplotigs	Primary Assembly	000017F_001	SCAFFOLD	000017F	+	1	1037616	220104	1236328	0	0
haplotigs	Primary Assembly	000017F_004	SCAFFOLD	000017F	+	1	18591	540962	559725	0	0
haplotigs	Primary Assembly	000017F_006	SCAFFOLD	000017F	+	1	20664	127417	148075	0	0
haplotigs	Primary Assembly	000018F_003	SCAFFOLD	000018F	+	1	132892	1043980	1182386	0	0
haplotigs	Primary Assembly	000018F_004	SCAFFOLD	000018F	+	3	27375	942224	971212	2	1433
haplotigs	Primary Assembly	000018F_005	SCAFFOLD	000018F	+	1	149612	1174880	1332269	0	195
haplotigs	Primary Assembly	000018F_006	SCAFFOLD	000018F	+	1	466579	273486	724599	0	2077
haplotigs	Primary Assembly	000019F_001	SCAFFOLD	000019F	+	1	244975	857962	1116423	0	0
haplotigs	Primary Assembly	000021F_001	SCAFFOLD	000021F	+	1	888598	127405	1026250	0	0
haplotigs	Primary Assembly	000024F_002	SCAFFOLD	000024F	+	1	18606	889838	908404	0	16276
haplotigs	Primary Assembly	000026F_001	SCAFFOLD	000026F	+	6818	38716	90751	300250	6817	0
haplotigs	Primary Assembly	000026F_002	SCAFFOLD	000026F	+	21124	41157	668731	688769	21123	0
haplotigs	Primary Assembly	000026F_005	SCAFFOLD	000026F	+	1	64224	171626	282714	0	32102
haplotigs	Primary Assembly	000026F_006	SCAFFOLD	000026F	+	1	56116	654439	685069	0	0
haplotigs	Primary Assembly	000028F_001	SCAFFOLD	000028F	+	1	811725	1713	786271	0	7607
haplotigs	Primary Assembly	000028F_004	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000029F_001	SCAFFOLD	000029F	+	1	567303	168961	705060	0	4467
haplotigs	Primary Assembly	000029F_003	SCAFFOLD	000029F	+	1	3139	649318	652480	0	0
haplotigs	Primary Assembly	000031F_002	SCAFFOLD	000031F	+	1	21378	204540	225955	0	0
haplotigs	Primary Assembly	000032F_001	SCAFFOLD	000032F	+	1	108539	533310	613282	0	1202
haplotigs	Primary Assembly	000033F_002	SCAFFOLD	000033F	+	1	20195	186444	206648	0	0
haplotigs	Primary Assembly	000036F_001	SCAFFOLD	000036F	+	1	556365	124478	561216	0	1
haplotigs	Primary Assembly	000036F_003	SCAFFOLD	000036F	+	1	14921	203177	218203	0	0
haplotigs	Primary Assembly	000036F_004	SCAFFOLD	000036F	+	1	14712	502449	517155	0	0
haplotigs	Primary Assembly	000036F_006	SCAFFOLD	000036F	+	1	98865	232586	311700	0	4
haplotigs	Primary Assembly	000039F_001	SCAFFOLD	000039F	+	1	19189	438337	457496	0	0
haplotigs	Primary Assembly	000040F_001	SCAFFOLD	000040F	+	1	43707	71061	119087	0	0
haplotigs	Primary Assembly	000044F_001	SCAFFOLD	000044F	+	1	33412	360134	393467	0	0
haplotigs	Primary Assembly	000046F_001	SCAFFOLD	000046F	+	1	20553	292125	312863	0	0
haplotigs	Primary Assembly	000047F_001	SCAFFOLD	000047F	+	2	389013	1	368822	1	0
haplotigs	Primary Assembly	000050F_001	SCAFFOLD	000050F	+	607	42565	121105	159116	606	0
haplotigs	Primary Assembly	000051F_001	SCAFFOLD	000051F	+	1	66214	193338	251991	0	3039
haplotigs	Primary Assembly	000053F_001	SCAFFOLD	000053F	+	13581	43417	1	29936	13580	0
haplotigs	Primary Assembly	000056F_001	SCAFFOLD	000056F	+	1	30771	230657	261580	0	0
haplotigs	Primary Assembly	000058F_002	SCAFFOLD	000058F	+	3034	16353	1	13343	3033	0
haplotigs	Primary Assembly	000064F_002	SCAFFOLD	000064F	-	1	44489	40347	69149	0	21778
haplotigs	Primary Assembly	000066F_001	SCAFFOLD	000066F	+	113	25194	163281	188526	112	0
haplotigs	Primary Assembly	000081F_001	SCAFFOLD	000081F	+	10289	17914	1	7672	10288	0
haplotigs	Primary Assembly	000082F_001	SCAFFOLD	000082F	+	1	63509	31742	96774	0	11380
haplotigs	Primary Assembly	000087F_001	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000097F_001	SCAFFOLD	000097F	+	1	39710	22972	62495	0	2739
haplotigs	Primary Assembly	000099F_001	SCAFFOLD	000099F	+	1	31624	3287	35051	0	0
haplotigs	Primary Assembly	000100F_001	SCAFFOLD	000100F	+	1	23861	18200	41886	0	0
haplotigs	Primary Assembly	000103F_001	SCAFFOLD	000103F	+	1	46407	1191	47702	0	0
haplotigs	Primary Assembly	000104F_001	SCAFFOLD	000104F	+	1	53009	2345	55142	0	1196
haplotigs	Primary Assembly	000105F_001	SCAFFOLD	000105F	+	1	55566	2	55434	0	7
haplotigs	Primary Assembly	000107F_001	SCAFFOLD	000107F	+	41674	57475	1	15788	41673	3192
haplotigs	Primary Assembly	000108F_001	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000109F_001	SCAFFOLD	000109F	+	1	21623	28974	51152	0	0
haplotigs	Primary Assembly	000129F_001	SCAFFOLD	000129F	+	1	28525	9096	37580	0	2004
haplotigs	Primary Assembly	000134F_001	SCAFFOLD	000134F	+	1	22148	12863	35007	0	3859
haplotigs	Primary Assembly	000137F_001	SCAFFOLD	000137F	+	1	20659	12470	33078	0	1269
haplotigs	Primary Assembly	000143F_001	SCAFFOLD	000143F	+	2450	31223	3568	30923	2449	16728
haplotigs	Primary Assembly	000143F_002	SCAFFOLD	000143F	+	1	15940	7874	23136	0	6151
haplotigs	Primary Assembly	000162F_001	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000189F_001	SCAFFOLD	000189F	+	1	11228	10498	21746	0	10966
